,ID,age,job,marital,education,default,balance,housing,loan,subscribed
0,26110,56,admin.,married,unknown,no,1933,no,no,no
1,40576,31,unknown,married,secondary,no,3,no,no,no
2,15320,27,services,married,secondary,no,891,yes,no,no
3,43962,57,management,divorced,tertiary,no,3287,no,no,yes
4,29842,31,technician,married,secondary,no,119,yes,no,no
5,29390,33,management,single,tertiary,no,0,yes,no,no
6,40444,56,retired,married,secondary,no,1044,no,no,yes
7,40194,50,technician,single,secondary,no,1811,no,no,no
8,29824,45,blue-collar,divorced,secondary,no,1951,yes,no,no
9,44676,35,admin.,married,secondary,no,1204,no,no,no
10,14699,36,services,divorced,secondary,yes,0,no,yes,yes
11,30180,35,blue-collar,married,secondary,no,-151,yes,no,no
12,28024,44,services,married,secondary,no,237,yes,no,no
13,480,39,management,single,secondary,no,1877,yes,no,no
14,3260,43,blue-collar,married,secondary,no,960,yes,no,no
15,9701,41,services,single,secondary,no,260,no,no,no
16,2843,53,technician,married,secondary,no,719,yes,no,no
17,30489,64,management,married,tertiary,no,6251,no,no,no
18,35310,44,blue-collar,married,primary,no,4031,yes,no,yes
19,38291,48,blue-collar,divorced,secondary,no,501,yes,no,no
20,4554,60,management,married,tertiary,no,328,yes,no,no
21,12156,29,admin.,single,tertiary,no,507,yes,no,no
22,16755,30,admin.,divorced,secondary,no,78,yes,no,no
23,14731,39,management,married,tertiary,no,285,yes,no,yes
24,40057,42,admin.,single,secondary,no,684,no,no,yes
25,20722,31,management,married,tertiary,no,4720,yes,no,no
26,9934,60,retired,married,primary,no,17413,no,no,no
27,2730,33,services,married,secondary,no,184,yes,no,no
28,30448,45,technician,married,secondary,no,858,no,no,no
29,30566,53,housemaid,single,primary,no,80,no,no,no
30,8653,31,management,single,tertiary,no,-205,yes,no,no
31,30574,39,management,single,tertiary,no,0,yes,no,no
32,1352,46,blue-collar,married,primary,no,-768,yes,no,no
33,14133,35,management,single,tertiary,no,0,no,yes,no
34,26297,30,admin.,married,secondary,no,3750,yes,no,no
35,30741,32,management,single,tertiary,no,2770,no,no,no
36,45155,63,retired,married,primary,no,3738,no,no,no
37,11484,47,housemaid,married,primary,no,823,no,no,no
38,4341,49,technician,married,tertiary,no,279,yes,no,no
39,30595,31,services,single,secondary,no,13,no,yes,yes
40,8153,52,management,married,secondary,no,218,yes,no,no
41,41042,68,retired,married,primary,no,2301,no,no,no
42,5137,31,technician,married,secondary,no,589,yes,yes,no
43,6807,33,blue-collar,married,secondary,no,580,yes,no,no
44,42243,32,management,married,tertiary,no,1331,no,no,yes
45,11760,47,self-employed,married,tertiary,no,1917,no,no,no
46,29317,27,technician,single,unknown,no,0,yes,no,no
47,18123,52,management,divorced,tertiary,no,147,no,no,no
48,39672,27,student,single,secondary,no,274,no,no,no
49,11517,53,admin.,married,secondary,no,2955,no,no,no
50,35993,26,admin.,married,secondary,no,354,yes,no,no
51,25061,45,blue-collar,married,secondary,no,1678,yes,no,no
52,6216,58,management,divorced,tertiary,no,-71,no,no,no
53,27503,38,admin.,married,secondary,no,1973,no,no,no
54,39213,33,blue-collar,married,secondary,no,139,yes,yes,yes
55,22206,57,self-employed,married,secondary,no,2109,no,no,no
56,32833,52,admin.,divorced,secondary,no,340,yes,no,no
57,25258,38,admin.,married,tertiary,no,605,no,no,no
58,28771,32,blue-collar,single,secondary,no,604,no,no,no
59,32351,54,blue-collar,married,primary,no,3170,yes,no,no
60,35015,36,technician,married,secondary,no,-78,yes,no,no
61,26088,40,admin.,married,unknown,no,9110,yes,no,no
62,38538,59,self-employed,married,primary,no,671,yes,no,no
63,27845,39,unknown,single,unknown,no,0,no,no,no
64,11026,38,admin.,divorced,secondary,no,156,yes,no,no
65,11815,38,management,married,tertiary,no,0,yes,no,no
66,41699,24,management,single,tertiary,no,0,no,no,no
67,20231,31,technician,single,tertiary,no,3194,no,no,no
68,26478,47,management,married,tertiary,no,186,no,no,no
69,38231,33,self-employed,married,secondary,no,217,yes,yes,no
70,9676,52,housemaid,married,primary,no,0,no,no,no
71,27605,37,blue-collar,married,secondary,no,1407,yes,no,no
72,24784,56,self-employed,divorced,secondary,no,0,no,no,no
73,22275,39,management,married,tertiary,no,1363,no,no,no
74,22692,46,admin.,married,secondary,no,1083,no,no,no
75,8976,39,blue-collar,single,primary,no,-491,no,yes,no
76,35314,54,management,divorced,tertiary,no,0,yes,no,no
77,43246,33,management,single,tertiary,no,224,no,no,yes
78,2112,34,blue-collar,single,secondary,no,381,yes,no,no
79,32388,42,blue-collar,married,primary,no,560,yes,yes,no
80,8210,40,admin.,divorced,secondary,no,2550,yes,no,no
81,33329,35,blue-collar,married,secondary,no,94,yes,no,no
82,3760,50,entrepreneur,married,secondary,no,556,yes,no,no
83,8211,38,technician,single,secondary,no,2990,yes,no,no
84,1074,39,blue-collar,single,secondary,no,29,yes,no,no
85,26792,30,entrepreneur,married,secondary,no,392,yes,no,no
86,36342,30,admin.,married,secondary,no,692,yes,no,no
87,1102,38,blue-collar,married,primary,no,1807,no,no,no
88,13349,32,services,married,secondary,no,61,yes,no,no
89,26906,41,technician,married,secondary,no,190,no,no,no
90,40762,32,self-employed,single,tertiary,no,1815,no,no,yes
91,32792,61,retired,divorced,primary,no,876,no,no,no
92,12455,35,services,married,secondary,no,871,yes,no,no
93,7086,41,blue-collar,married,secondary,no,1020,yes,no,no
94,34789,31,services,single,secondary,no,864,yes,no,no
95,9734,53,unknown,married,secondary,no,16,no,no,no
96,37648,36,self-employed,married,tertiary,no,307,yes,no,no
97,2142,32,entrepreneur,married,tertiary,no,108,yes,yes,no
98,12353,55,entrepreneur,married,tertiary,no,625,no,no,no
99,21427,30,management,single,tertiary,no,0,no,no,no
100,6671,30,technician,single,tertiary,no,0,yes,no,no
101,21933,41,technician,married,secondary,no,-4,no,no,no
102,17582,45,blue-collar,married,primary,no,193,yes,yes,no
103,18589,39,blue-collar,married,secondary,no,98,no,no,no
104,1135,44,blue-collar,married,secondary,no,1,yes,no,no
105,35334,37,blue-collar,married,primary,no,223,yes,no,no
106,14587,32,management,single,tertiary,no,752,yes,no,no
107,7247,48,blue-collar,married,unknown,no,100,yes,no,no
108,14366,34,management,married,tertiary,no,-123,yes,no,no
109,10625,36,housemaid,married,tertiary,yes,-1941,yes,no,no
110,30068,49,self-employed,divorced,tertiary,no,0,no,no,no
111,18979,47,entrepreneur,married,secondary,no,318,no,no,no
112,36224,43,services,married,secondary,no,-416,yes,yes,no
113,32546,36,blue-collar,single,primary,no,295,yes,no,no
114,7436,56,blue-collar,married,primary,no,1798,yes,no,no
115,42098,20,student,single,primary,no,0,no,no,no
116,26053,55,entrepreneur,divorced,tertiary,no,372,yes,no,no
117,10499,38,services,married,tertiary,no,1018,no,no,no
118,24803,56,technician,married,secondary,no,589,yes,no,no
119,12907,50,technician,married,unknown,no,680,no,no,no
120,22818,54,blue-collar,married,secondary,no,2255,no,no,no
121,25385,46,management,divorced,tertiary,no,6269,yes,no,no
122,37080,33,blue-collar,married,secondary,no,1905,yes,no,no
123,44622,36,management,single,tertiary,no,671,yes,no,no
